market_id,event_id,event_start_time_utc,home_team_name,away_team_name,snapshots_total,snapshots_pre_match,snapshots_in_match,snapshots_end_window,first_snapshot_at,last_snapshot_at,last_pre_match_snapshot_at,last_pre_match_gap_min,final_snapshot_at,final_snapshot_t_from_kickoff_min,has_pre_match,has_end_window,has_closed_status,coverage_flag
1.253432937,35211644,2026-02-07T17:30:00+00:00,Celtic,Dundee,4,0,4,0,2026-02-07 17:36:30.289718+00:00,2026-02-07 18:21:31.693830+00:00,,,2026-02-07 18:21:31.693830+00:00,51.5282305,False,False,False,FAIL
1.253433280,35211894,2026-02-06T17:30:00+00:00,Preussen Munster,Bochum,30,0,30,0,2026-02-06 18:00:33.344057+00:00,2026-02-06 18:29:43.394653+00:00,,,2026-02-06 18:29:43.394653+00:00,59.723244216666664,False,False,False,FAIL
1.253433388,35211893,2026-02-06T17:30:00+00:00,Greuther Furth,FC Magdeburg,30,0,30,0,2026-02-06 18:00:33.344057+00:00,2026-02-06 18:29:43.394653+00:00,,,2026-02-06 18:29:43.394653+00:00,59.723244216666664,False,False,False,FAIL
1.253442891,35212275,2026-02-06T17:00:00+00:00,Lokomotiva,HNK Gorica,15,0,15,0,2026-02-06 17:45:28.074575+00:00,2026-02-06 17:59:32.974711+00:00,,,2026-02-06 17:59:32.974711+00:00,59.549578516666664,False,False,False,FAIL
1.253447338,35213122,2026-02-06T20:01:00+00:00,Charlton,QPR,1,0,1,0,2026-02-06 21:00:33.878994+00:00,2026-02-06 21:00:33.878994+00:00,,,2026-02-06 21:00:33.878994+00:00,59.5646499,False,False,False,FAIL
1.253447558,35213129,2026-02-07T11:30:00+00:00,Fatih Karagumruk Istanbul,Antalyaspor,2,0,2,0,2026-02-07 12:00:07.688680+00:00,2026-02-07 12:15:08.303145+00:00,,,2026-02-07 12:15:08.303145+00:00,45.13838575,False,False,False,FAIL
1.253448077,35213143,2026-02-06T16:45:00+00:00,Qatar SC,Al Rayyan,45,0,45,0,2026-02-06 17:00:11.852781+00:00,2026-02-06 17:44:27.700310+00:00,,,2026-02-06 17:44:27.700310+00:00,59.461671833333334,False,False,False,FAIL
1.253448245,35213133,2026-02-07T15:01:00+00:00,Huddersfield,Blackpool,1,0,1,0,2026-02-07 16:00:14.750898+00:00,2026-02-07 16:00:14.750898+00:00,,,2026-02-07 16:00:14.750898+00:00,59.2458483,False,False,False,FAIL
1.253448599,35213148,2026-02-07T16:15:00+00:00,Palermo,Empoli,3,0,3,0,2026-02-07 16:36:28.659109+00:00,2026-02-07 17:06:29.462570+00:00,,,2026-02-07 17:06:29.462570+00:00,51.49104283333334,False,False,False,FAIL
1.253448689,35213149,2026-02-06T14:45:00+00:00,Al-Wakra,Al Ahli (QAT),20,0,20,0,2026-02-06 15:25:34.956796+00:00,2026-02-06 15:44:41.805557+00:00,,,2026-02-06 15:44:41.805557+00:00,59.696759283333336,False,False,False,FAIL
1.253450745,35213191,2026-02-07T15:01:00+00:00,Birmingham,Leicester,1,0,1,0,2026-02-07 16:00:14.750898+00:00,2026-02-07 16:00:14.750898+00:00,,,2026-02-07 16:00:14.750898+00:00,59.2458483,False,False,False,FAIL
1.253454096,35213269,2026-02-07T12:31:00+00:00,Derby,Ipswich,3,0,3,0,2026-02-07 13:00:09.585453+00:00,2026-02-07 13:30:10.415335+00:00,,,2026-02-07 13:30:10.415335+00:00,59.17358891666667,False,False,False,FAIL
1.253454400,35213287,2026-02-07T12:31:00+00:00,Norwich,Blackburn,1,0,1,0,2026-02-07 13:30:10.415335+00:00,2026-02-07 13:30:10.415335+00:00,,,2026-02-07 13:30:10.415335+00:00,59.17358891666667,False,False,False,FAIL
1.253455843,35213334,2026-02-07T15:01:00+00:00,Coventry,Oxford Utd,3,0,3,0,2026-02-07 15:30:13.925186+00:00,2026-02-07 16:00:14.750898+00:00,,,2026-02-07 16:00:14.750898+00:00,59.2458483,False,False,False,FAIL
1.253456317,35213307,2026-02-07T15:01:00+00:00,Hull,Bristol City,1,0,1,0,2026-02-07 16:00:14.750898+00:00,2026-02-07 16:00:14.750898+00:00,,,2026-02-07 16:00:14.750898+00:00,59.2458483,False,False,False,FAIL
1.253456381,35213479,2026-02-06T18:00:00+00:00,Porto B,Academico de Viseu,30,0,30,0,2026-02-06 18:30:43.710601+00:00,2026-02-06 18:59:53.283473+00:00,,,2026-02-06 18:59:53.283473+00:00,59.88805788333333,False,False,False,FAIL
1.253458492,35213552,2026-02-07T18:30:00+00:00,Spezia,Entella,3,0,3,0,2026-02-07 18:51:32.590307+00:00,2026-02-07 19:21:33.411081+00:00,,,2026-02-07 19:21:33.411081+00:00,51.55685135,False,False,False,FAIL
