event_id,markets,market_start_time,first_snapshot_time,last_snapshot_time,total_snapshots,capture_span
35215940,1,2026-02-14 14:00:00+00,2026-02-13 14:02:32.929186+00,2026-02-14 14:51:53.253667+00,187,1 day 00:49:20.324481
35172762,1,2026-02-14 15:00:00+00,2026-02-13 15:02:34.735389+00,2026-02-14 15:51:54.893352+00,168,1 day 00:49:20.157963
35211976,1,2026-02-14 15:00:00+00,2026-02-13 15:02:34.735389+00,2026-02-14 15:51:54.893352+00,231,1 day 00:49:20.157963
35215830,1,2026-02-14 17:00:00+00,2026-02-13 19:02:41.819646+00,2026-02-14 17:51:58.46679+00,208,22:49:16.647144
35216679,1,2026-02-14 20:00:00+00,2026-02-13 20:02:43.539281+00,2026-02-14 20:52:04.242242+00,261,1 day 00:49:20.702961
35215842,1,2026-02-14 19:45:00+00,2026-02-13 20:17:43.965451+00,2026-02-14 20:37:03.741587+00,256,1 day 00:19:19.776136
35218089,1,2026-02-14 14:30:00+00,2026-02-13 20:47:44.776861+00,2026-02-14 15:21:54.11005+00,189,18:34:09.333189
35217450,1,2026-02-14 14:30:00+00,2026-02-13 20:47:44.776861+00,2026-02-14 15:21:54.11005+00,189,18:34:09.333189
35225032,1,2026-02-14 22:45:00+00,2026-02-13 22:47:48.073342+00,2026-02-14 23:37:09.321058+00,152,1 day 00:49:21.247716
35217569,1,2026-02-14 14:30:00+00,2026-02-14 13:36:51.100527+00,2026-02-14 15:21:54.11005+00,22,01:45:03.009523
35216606,1,2026-02-15 15:15:00+00,2026-02-14 15:31:57.428465+00,2026-02-15 10:22:27.697358+00,224,18:50:30.268893
35172745,1,2026-02-15 16:30:00+00,2026-02-14 16:31:59.347483+00,2026-02-15 17:18:59.915943+00,242,1 day 00:47:00.56846
35215939,1,2026-02-15 14:00:00+00,2026-02-14 21:02:08.92639+00,2026-02-15 10:22:27.697358+00,162,13:20:18.770968
35216720,1,2026-02-15 17:30:00+00,2026-02-14 21:07:04.748356+00,2026-02-15 09:33:48.211446+00,104,12:26:43.46309
35172764,1,2026-02-16 19:30:00+00,2026-02-15 19:32:45.61323+00,2026-02-16 10:49:36.744748+00,122,15:16:51.131518
