timestamp,marketId,selectionId,price,sizeTraded
1770136545376,1.253528103,10702893,2.74,34.49
1770136545376,1.253528103,10702893,1.63,129.97
1770136545376,1.253528103,10702893,2.94,83.92
1770136545376,1.253528103,10702893,1.70,16.10
1770136545376,1.253528103,10702893,1.68,35.37
1770136545376,1.253528103,10702893,3.10,52.05
1770136545376,1.253528103,10702893,2.90,64.72
1770136545376,1.253528103,10702893,2.76,252.65
1770136545376,1.253528103,10702893,14.00,14.55
1770136545376,1.253528103,10702893,13.50,101.28
1770136545376,1.253528103,10702893,12.00,70.90
1770136545376,1.253528103,10702893,10.50,28.48
1770136545376,1.253528103,10702893,1.73,38.36
1770136545376,1.253528103,10702893,1.61,74.65
1770136545376,1.253528103,10702893,2.78,35.12
1770136545376,1.253528103,10702893,1.67,241.62
1770136545376,1.253528103,10702893,3.20,322.37
1770136545376,1.253528103,10702893,4.50,75.69
1770136545376,1.253528103,10702893,3.45,59.93
1770136545376,1.253528103,10702893,3.25,48.09
1770136545376,1.253528103,10702893,4.30,3.93
1770136545376,1.253528103,10702893,4.40,4.24
1770136545376,1.253528103,10702893,4.00,3.72
1770136545376,1.253528103,10702893,13.00,19.60
1770136545376,1.253528103,10702893,12.50,16.40
1770136545376,1.253528103,10702893,14.50,8.82
1770136545376,1.253528103,10702893,11.50,59.22
1770136545376,1.253528103,10702893,11.00,30.29
1770136545376,1.253528103,10702893,10.00,22.35
1770136545376,1.253528103,10702893,3.75,80.00
1770136545376,1.253528103,10702893,3.70,4.00
1770136545376,1.253528103,10702893,3.55,23.79
1770136545376,1.253528103,10702893,3.30,33.88
1770136545376,1.253528103,10702893,3.35,35.29
1770136545376,1.253528103,10702893,3.15,1.90
1770136545376,1.253528103,10702893,3.00,7.16
1770136545376,1.253528103,10702893,2.92,5.90
1770136545376,1.253528103,10702893,3.05,40.80
1770136545376,1.253528103,10702893,2.86,0.15
1770136545376,1.253528103,10702893,2.84,6.48
1770136545376,1.253528103,10702893,2.96,34.54
1770136545376,1.253528103,10702893,2.54,3.28
1770136545376,1.253528103,10702893,1.65,101.59
1770136545376,1.253528103,10702893,1.62,18.36
1770136545376,1.253528103,10702893,1.69,51.04
1770136545376,1.253528103,10702893,1.71,1.46
1770136545376,1.253528103,10702893,1.75,17.84
1770136545376,1.253528103,10702893,1.76,5.46
1770136545382,1.253528103,58805,7.20,6.14
1770136545382,1.253528103,58805,7.40,1.97
1770136545382,1.253528103,58805,7.00,174.81
1770136545382,1.253528103,58805,6.80,61.14
1770136545382,1.253528103,58805,6.60,45.11
1770136545382,1.253528103,58805,6.40,111.28
1770136545382,1.253528103,58805,6.20,57.07
1770136545382,1.253528103,58805,6.00,15.89
1770136545382,1.253528103,58805,5.60,4.65
1770136545382,1.253528103,58805,5.70,0.95
1770136545382,1.253528103,58805,5.50,4.28
1770136545382,1.253528103,58805,2.28,9.29
1770136545382,1.253528103,58805,2.26,6.74
1770136545382,1.253528103,58805,2.38,4.00
1770136545382,1.253528103,58805,2.30,30.75
1770136545382,1.253528103,58805,2.36,0.95
1770136545382,1.253528103,58805,2.32,79.84
1770136545382,1.253528103,58805,2.34,137.24
1770136545382,1.253528103,58805,2.40,16.34
1770136545382,1.253528103,58805,2.52,36.93
1770136545382,1.253528103,58805,2.50,1.90
1770136545382,1.253528103,58805,2.58,12.31
1770136545382,1.253528103,58805,2.54,3.25
1770136545382,1.253528103,58805,2.60,16.76
1770136545382,1.253528103,58805,2.56,0.27
1770136545382,1.253528103,58805,2.64,32.64
1770136545382,1.253528103,58805,2.68,19.77
1770136545382,1.253528103,58805,2.76,0.95
1770136545382,1.253528103,58805,2.62,6.47
1770136545382,1.253528103,58805,2.70,11.52
1770136545382,1.253528103,58805,2.66,10.28
1770136545382,1.253528103,58805,2.82,4.25
1770136545382,1.253528103,58805,2.84,4.17
1770136545382,1.253528103,58805,2.88,4.67
1770136545382,1.253528103,58805,2.90,10.00
1770136545382,1.253528103,58805,2.92,131.72
1770136545382,1.253528103,58805,2.94,22.11
1770136545382,1.253528103,58805,2.98,4.00
1770136545382,1.253528103,58805,2.96,40.94
1770136545382,1.253528103,58805,3.00,4.15
1770136545382,1.253528103,58805,3.05,582.24
1770136545382,1.253528103,58805,3.10,6.00
1770136545382,1.253528103,58805,2.86,7.30
1770136545382,1.253528103,58805,3.30,5.31
1770136545382,1.253528103,58805,3.60,86.43
1770136545382,1.253528103,58805,3.65,49.11
1770136545382,1.253528103,58805,3.70,147.50
1770136545382,1.253528103,58805,3.55,17.64
1770136545382,1.253528103,58805,4.10,45.17
1770136545382,1.253528103,58805,4.30,46.44
1770136545382,1.253528103,58805,3.90,2.33
1770136545382,1.253528103,58805,4.00,29.65
1770136545382,1.253528103,58805,3.95,8.06
1770136545382,1.253528103,58805,4.20,0.98
1770136545382,1.253528103,58805,4.40,41.69
1770136545382,1.253528103,58805,4.50,9.10
1770136545382,1.253528103,58805,4.90,19.85
1770136545382,1.253528103,58805,5.00,19.07
1770136545382,1.253528103,58805,5.10,0.49
1770136545382,1.253528103,58805,4.60,3.20
1770136545382,1.253528103,58805,4.70,2.34
1770136545386,1.253527560,40816280,3.60,1.90
1770136545386,1.253527560,40816280,3.40,6.76
1770136545386,1.253527560,40816280,3.35,0.35
1770136545386,1.253527560,40816280,3.55,5.17
1770136545386,1.253527560,40816280,3.85,5.40
1770136545386,1.253527560,40816280,2.86,2.19
1770136545386,1.253527560,40816280,2.68,1.90
1770136545386,1.253527560,40816280,2.62,19.66
1770136545386,1.253527560,40816280,2.66,6.73
1770136545386,1.253527560,40816280,2.64,2.00
1770136545386,1.253527560,40816280,2.70,0.70
1770136545386,1.253527560,40816280,1.19,27.97
1770136545386,1.253527560,40816280,1.20,42.10
1770136545386,1.253527560,40816280,1.22,199.83
1770136545386,1.253527560,40816280,1.21,2.00
1770136545386,1.253527560,40816280,1.23,24.86
1770136545386,1.253527560,40816280,1.24,513.82
1770136545386,1.253527560,40816280,1.25,595.92
1770136545386,1.253527560,40816280,1.26,27.28
1770136545386,1.253527560,40816280,1.27,210.53
1770136545386,1.253527560,40816280,1.29,51.17
1770136545386,1.253527560,40816280,1.28,23.10
1770136545386,1.253527560,40816280,1.30,653.22
1770136545386,1.253527560,40816280,1.31,251.40
1770136545386,1.253527560,40816280,2.42,88.44
1770136545386,1.253527560,40816280,2.40,31.18
