timestamp,marketId,selectionId,side,price,oldSize,newSize,changePercent
1770136905264,1.253364792,10201607,LAY,1.64,275.93,385.00,39.53
1770136905264,1.253364792,58805,BACK,4.70,90.36,121.89,34.89
1770136905264,1.253364792,58805,LAY,6.00,8.75,17.95,105.14
1770136905264,1.253364792,10369569,LAY,6.00,65.68,33.00,49.76
1770136905264,1.253364792,10369569,LAY,6.60,9.04,16.31,80.42
1770136905264,1.253533353,5340649,BACK,24.00,1.34,3.00,123.88
1770136905264,1.253533353,58805,LAY,12.00,8.06,16.74,107.69
1770136905264,1.253533353,58805,LAY,12.50,2.00,5.00,150.00
1770136905264,1.253533353,113125,LAY,1.15,103.62,166.88,61.05
1770136905264,1.253435427,69821,LAY,3.10,45.58,27.09,40.57
1770136905264,1.253435427,55213,LAY,2.72,15.63,1.92,87.72
1770136905264,1.253551229,6799680,BACK,1.92,4.50,2.00,55.56
1770136905264,1.253551229,6799680,LAY,2.14,5.00,2.00,60.00
1770136905264,1.253566108,85908106,LAY,5.50,2.46,6.22,152.85
1770136905264,1.253566108,85908106,LAY,5.60,6.56,3.00,54.27
1770136905264,1.253532776,298233,BACK,2.02,0.73,114.70,15612.33
1770136905265,1.253385969,6160611,BACK,2.44,36.00,149.42,315.06
1770136905265,1.253385969,6160611,BACK,2.40,163.86,40.00,75.59
1770136905265,1.253385969,6160611,LAY,2.56,9.00,72.73,708.11
1770136905265,1.253385969,12157288,BACK,2.98,86.86,2.80,96.78
1770136905265,1.253385969,12157288,BACK,2.92,33.00,127.69,286.94
1770136905265,1.253385969,12157288,LAY,3.15,42.00,133.70,218.33
1770136905265,1.253385969,12157288,LAY,3.20,122.18,64.00,47.62
1770136905265,1.253453652,1532826,LAY,2.06,24.75,63.59,156.93
1770136905265,1.253453652,58805,BACK,3.10,7.93,16.85,112.48
1770136905265,1.253453652,58805,LAY,3.30,41.62,22.15,46.78
1770136905265,1.253453652,58805,LAY,3.35,6.00,32.90,448.33
1770136905265,1.253453652,8750556,BACK,4.80,28.38,9.00,68.29
1770136905265,1.253453652,8750556,LAY,5.50,6.00,9.90,65.00
1770136905265,1.253530789,9389942,BACK,1.44,26.51,1.00,96.23
1770136905266,1.253530789,58805,BACK,4.10,3.09,16.05,419.42
1770136905266,1.253530789,58805,LAY,4.90,23.43,3.45,85.28
1770136905266,1.253530789,58805,LAY,5.00,27.11,3.45,87.27
1770136905266,1.253530789,58805,LAY,4.60,35.77,11.86,66.84
1770136905266,1.253530789,58805,LAY,4.80,29.94,3.45,88.48
1770136905266,1.253528193,7313728,LAY,3.10,162.08,58.00,64.22
1770136905266,1.253528193,6569322,BACK,3.30,16.00,87.10,444.37
1770136905266,1.253528193,6569322,BACK,3.25,11.00,44.93,308.45
1770136905266,1.253528193,58805,BACK,2.54,7.18,60.36,740.67
1770136905267,1.253538182,62995859,BACK,22.00,38.35,22.69,40.83
1770136905267,1.253538182,62995859,LAY,28.00,19.24,41.97,118.14
1770136905267,1.253538182,62995859,LAY,34.00,11.92,22.92,92.28
1770136905267,1.253285293,58805,LAY,4.30,96.09,237.43,147.09
1770136905267,1.253285293,2487034,BACK,1.42,2.07,404.16,19424.64
1770136905267,1.253498396,7861726,LAY,46.00,5.78,16.53,185.99
